algorithm,size,time
qs1,2500,0.0053102970123291016
qs1,2500,0.004497051239013672
qs1,2500,0.004572868347167969
qs1,2500,0.004519224166870117
qs1,2500,0.004565000534057617
qs1,2500,0.004544973373413086
qs1,2500,0.004540920257568359
qs1,2500,0.004365682601928711
qs1,2500,0.004478931427001953
qs1,2500,0.00436091423034668
qs1,2500,0.004418849945068359
qs1,2500,0.0044708251953125
qs1,2500,0.004324913024902344
qs1,2500,0.004372835159301758
qs1,2500,0.00444483757019043
qs1,2500,0.004347801208496094
qs1,2500,0.0044498443603515625
qs1,2500,0.004403829574584961
qs1,2500,0.0044019222259521484
qs1,2500,0.004533052444458008
qs1,2500,0.004503011703491211
qs1,2500,0.004313230514526367
qs1,2500,0.004416227340698242
qs1,2500,0.0044858455657958984
qs1,2500,0.004372835159301758
qs1,2500,0.004516124725341797
qs1,2500,0.004490852355957031
qs1,2500,0.0044460296630859375
qs1,2500,0.004410982131958008
qs1,2500,0.0044269561767578125
qs1,2500,0.0044291019439697266
qs1,2500,0.0043680667877197266
qs1,2500,0.004527091979980469
qs1,2500,0.004522085189819336
qs1,2500,0.00449824333190918
qs1,2500,0.004478931427001953
qs1,2500,0.004734992980957031
qs1,2500,0.006067991256713867
qs1,2500,0.0055921077728271484
qs1,2500,0.004868984222412109
qs1,2500,0.005383968353271484
qs1,2500,0.004913806915283203
qs1,2500,0.004640102386474609
qs1,2500,0.004791975021362305
qs1,2500,0.005103111267089844
qs1,2500,0.005934238433837891
qs1,2500,0.004359245300292969
qs1,2500,0.004449129104614258
qs1,2500,0.004503011703491211
qs1,2500,0.004359245300292969
qs1,2500,0.0045299530029296875
qs1,2500,0.004293918609619141
qs1,2500,0.004554033279418945
qs1,2500,0.004467964172363281
qs1,2500,0.00453495979309082
qs1,2500,0.004398822784423828
qs1,2500,0.004540920257568359
qs1,2500,0.00448298454284668
qs1,2500,0.004418849945068359
qs1,2500,0.0045549869537353516
qs1,2500,0.0044209957122802734
qs1,2500,0.0043048858642578125
qs1,2500,0.004357814788818359
qs1,2500,0.004405021667480469
qs1,2500,0.004369020462036133
qs1,2500,0.004426717758178711
qs1,2500,0.004325151443481445
qs1,2500,0.004521846771240234
qs1,2500,0.004488229751586914
qs1,2500,0.0043430328369140625
qs1,2500,0.004338979721069336
qs1,2500,0.005064249038696289
qs1,2500,0.004703998565673828
qs1,2500,0.004529237747192383
qs1,2500,0.004575014114379883
qs1,2500,0.004549980163574219
qs1,2500,0.004630088806152344
qs1,2500,0.004669904708862305
qs1,2500,0.00450897216796875
qs1,2500,0.004621982574462891
qs1,2500,0.004734039306640625
qs1,2500,0.00533604621887207
qs1,2500,0.004803895950317383
qs1,2500,0.0048711299896240234
qs1,2500,0.004961967468261719
qs1,2500,0.005025148391723633
qs1,2500,0.0060918331146240234
qs1,2500,0.01180124282836914
qs1,2500,0.005071163177490234
qs1,2500,0.007812976837158203
qs1,2500,0.00852203369140625
qs1,2500,0.004843950271606445
qs1,2500,0.005400180816650391
qs1,2500,0.006880044937133789
qs1,2500,0.008738994598388672
qs1,2500,0.00475001335144043
qs1,2500,0.004554033279418945
qs1,2500,0.004446983337402344
qs1,2500,0.004415988922119141
qs1,2500,0.004431724548339844
qs2,2500,0.005483865737915039
qs2,2500,0.0053980350494384766
qs2,2500,0.0055048465728759766
qs2,2500,0.005731105804443359
qs2,2500,0.005635976791381836
qs2,2500,0.006223917007446289
qs2,2500,0.006079912185668945
qs2,2500,0.005846977233886719
qs2,2500,0.005838155746459961
qs2,2500,0.0057337284088134766
qs2,2500,0.005671024322509766
qs2,2500,0.005938053131103516
qs2,2500,0.006148815155029297
qs2,2500,0.00601506233215332
qs2,2500,0.0062220096588134766
qs2,2500,0.005942106246948242
qs2,2500,0.00571894645690918
qs2,2500,0.005925893783569336
qs2,2500,0.0059549808502197266
qs2,2500,0.005714893341064453
qs2,2500,0.005716085433959961
qs2,2500,0.005713939666748047
qs2,2500,0.005785942077636719
qs2,2500,0.005527973175048828
qs2,2500,0.0063779354095458984
qs2,2500,0.00594782829284668
qs2,2500,0.007205009460449219
qs2,2500,0.00691986083984375
qs2,2500,0.006075859069824219
qs2,2500,0.006512165069580078
qs2,2500,0.006314992904663086
qs2,2500,0.006316184997558594
qs2,2500,0.006304025650024414
qs2,2500,0.009099006652832031
qs2,2500,0.005819797515869141
qs2,2500,0.006551980972290039
qs2,2500,0.005850791931152344
qs2,2500,0.00564885139465332
qs2,2500,0.006085872650146484
qs2,2500,0.005527019500732422
qs2,2500,0.005686759948730469
qs2,2500,0.005787849426269531
qs2,2500,0.0055010318756103516
qs2,2500,0.005939006805419922
qs2,2500,0.005833148956298828
qs2,2500,0.005507707595825195
qs2,2500,0.005620002746582031
qs2,2500,0.005492210388183594
qs2,2500,0.005572795867919922
qs2,2500,0.005553245544433594
qs2,2500,0.005521059036254883
qs2,2500,0.005558967590332031
qs2,2500,0.005421161651611328
qs2,2500,0.005493879318237305
qs2,2500,0.005587100982666016
qs2,2500,0.005505800247192383
qs2,2500,0.005585908889770508
qs2,2500,0.005445241928100586
qs2,2500,0.0055429935455322266
qs2,2500,0.0056116580963134766
qs2,2500,0.005465030670166016
qs2,2500,0.005588054656982422
qs2,2500,0.0055310726165771484
qs2,2500,0.005446910858154297
qs2,2500,0.005536079406738281
qs2,2500,0.0056917667388916016
qs2,2500,0.0057239532470703125
qs2,2500,0.007664918899536133
qs2,2500,0.006150245666503906
qs2,2500,0.005906343460083008
qs2,2500,0.0061838626861572266
qs2,2500,0.005796194076538086
qs2,2500,0.006590843200683594
qs2,2500,0.008283138275146484
qs2,2500,0.005513906478881836
qs2,2500,0.005602121353149414
qs2,2500,0.0054662227630615234
qs2,2500,0.00583195686340332
qs2,2500,0.005652904510498047
qs2,2500,0.00541996955871582
qs2,2500,0.0054988861083984375
qs2,2500,0.005555152893066406
qs2,2500,0.005369901657104492
qs2,2500,0.005532741546630859
qs2,2500,0.0056798458099365234
qs2,2500,0.005673885345458984
qs2,2500,0.005377769470214844
qs2,2500,0.005484819412231445
qs2,2500,0.005544900894165039
qs2,2500,0.005566120147705078
qs2,2500,0.00558781623840332
qs2,2500,0.0055179595947265625
qs2,2500,0.005501985549926758
qs2,2500,0.005505800247192383
qs2,2500,0.005402088165283203
qs2,2500,0.0054302215576171875
qs2,2500,0.005483150482177734
qs2,2500,0.005424022674560547
qs2,2500,0.005609989166259766
qs2,2500,0.005537986755371094
qs3,2500,0.005413055419921875
qs3,2500,0.0053980350494384766
qs3,2500,0.0056400299072265625
qs3,2500,0.005418062210083008
qs3,2500,0.0057032108306884766
qs3,2500,0.005714893341064453
qs3,2500,0.005350828170776367
qs3,2500,0.005568027496337891
qs3,2500,0.006028175354003906
qs3,2500,0.008047103881835938
qs3,2500,0.006312847137451172
qs3,2500,0.006154060363769531
qs3,2500,0.005782127380371094
qs3,2500,0.00596308708190918
qs3,2500,0.007001161575317383
qs3,2500,0.007734060287475586
qs3,2500,0.005591869354248047
qs3,2500,0.00542902946472168
qs3,2500,0.005851268768310547
qs3,2500,0.005518913269042969
qs3,2500,0.005532264709472656
qs3,2500,0.00531315803527832
qs3,2500,0.0053560733795166016
qs3,2500,0.0054779052734375
qs3,2500,0.005642890930175781
qs3,2500,0.005629777908325195
qs3,2500,0.005675077438354492
qs3,2500,0.005467891693115234
qs3,2500,0.005585908889770508
qs3,2500,0.0062601566314697266
qs3,2500,0.005571842193603516
qs3,2500,0.0056116580963134766
qs3,2500,0.005540132522583008
qs3,2500,0.005632877349853516
qs3,2500,0.0056400299072265625
qs3,2500,0.005458831787109375
qs3,2500,0.0055370330810546875
qs3,2500,0.005452871322631836
qs3,2500,0.005764961242675781
qs3,2500,0.0055921077728271484
qs3,2500,0.0055201053619384766
qs3,2500,0.005445957183837891
qs3,2500,0.005396127700805664
qs3,2500,0.00575709342956543
qs3,2500,0.006033182144165039
qs3,2500,0.005688905715942383
qs3,2500,0.005743980407714844
qs3,2500,0.0053920745849609375
qs3,2500,0.0055310726165771484
qs3,2500,0.005583286285400391
qs3,2500,0.005474090576171875
qs3,2500,0.006325960159301758
qs3,2500,0.005995035171508789
qs3,2500,0.006114006042480469
qs3,2500,0.006226062774658203
qs3,2500,0.005712747573852539
qs3,2500,0.005982398986816406
qs3,2500,0.00669407844543457
qs3,2500,0.007579803466796875
qs3,2500,0.0054779052734375
qs3,2500,0.005726814270019531
qs3,2500,0.005471229553222656
qs3,2500,0.00550079345703125
qs3,2500,0.005997180938720703
qs3,2500,0.005843162536621094
qs3,2500,0.005508899688720703
qs3,2500,0.0054950714111328125
qs3,2500,0.005636692047119141
qs3,2500,0.005685091018676758
qs3,2500,0.005539894104003906
qs3,2500,0.005466938018798828
qs3,2500,0.0056247711181640625
qs3,2500,0.005558013916015625
